7575,# doc = filename.2.txt,,,,,,,,,,,,,,,,
7576,# speaker = Катя,,,,,,,,,,,,,,,,
7577,# sent = 652,,,,,,,,,,,,,,,,
7578,,Почему,ПОЧЕМУ,ADV -,,,   _Почему_ ты выбрал именно,у,м,е,ч,о,п,ADV,ПОЧЕМУ,ADV -,У
7579,,ты,ТЫ,SPRO sg 2p - nom,,,  Почему _ты_ выбрал именно баскетбол,ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
7580,,выбрал,ВЫБРАТЬ,V pf praet sg indic m -,,, Почему ты _выбрал_ именно баскетбол ?,л,а,р,б,ы,в,V,ВЫБРАТЬ,V pf praet sg indic m -,Ь
7581,,именно,ИМЕННО,PART,,,Почему ты выбрал _именно_ баскетбол ? ,о,н,н,е,м,и,PART,ИМЕННО,PART,О
7582,,баскетбол,БАСКЕТБОЛ,S m inan acc sg,,,ты выбрал именно _баскетбол_ ?  ,л,о,б,т,е,к,S,БАСКЕТБОЛ,S m inan acc sg,Л
7583,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
7584,,,,,,,,,,,,,,,,,
7585,# sent = 653,,,,,,,,,,,,,,,,
7586,# speaker = Макс,,,,,,,,,,,,,,,,
7587,# sent = 654,,,,,,,,,,,,,,,,
7588,,Ммм,МММ,NONLEX,,,   _Ммм_ ...  ,м,м,м,,,,S,МММ,S n inan loc sg,М
7589,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
7590,,,,,,,,,,,,,,,,,
7591,# sent = 655,,,,,,,,,,,,,,,,
7592,,Эээ,ЭЭЭ,NONLEX,,,...   _Эээ_ ...  ,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
7593,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
7594,,,,,,,,,,,,,,,,,
7595,# sent = 656,,,,,,,,,,,,,,,,
7596,,Я,Я,SPRO sg 1p - nom,,,"...   _Я_ выбрал баскетбол ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7597,,выбрал,ВЫБРАТЬ,V pf praet sg indic m -,,,"  Я _выбрал_ баскетбол , потому что",л,а,р,б,ы,в,V,ВЫБРАТЬ,V pf praet sg indic m -,Ь
7598,,баскетбол,БАСКЕТБОЛ,S m inan acc sg,,," Я выбрал _баскетбол_ , потому что он",л,о,б,т,е,к,S,БАСКЕТБОЛ,S m inan acc sg,Л
7599,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7600,,потому что,потому что,CONJ,,,"выбрал баскетбол , _потому что_ он вдохновляет меня",о,т,ч, ,у,м,CONJ,потому что,CONJ,о
